SNo,Date,StartupName,Location,IndustryVertical,SubVertical,InvestorsName,InvestmentType,AmountInUSD,Remarks
41,22/01//2015,Corporate360,,,,Group of Angel Investors,Seed Funding,200000,
42,22/01/2015,Freshmonk,,,,"August Capital Partners, Michael Blakey",Seed Funding,,
43,22/01/2015,Englishleap.com,,,,ANALEC,Private Equity,,Majority Stake
44,22/01/2015,Antuit,,,,"Goldman Sachs, Zodius Capital",Private Equity,56000000,
45,22/01/2015,Caratlane.com,,,,Tiger Global,Private Equity,31000000,Series D
46,24/01/2015,Aasaanjobs,,,,"Inventus Capital Partners, IDG Ventures",Seed Funding,1500000,
47,24/01/2015,Impartus,,,,Kaizen Private Equity,Private Equity,,Series A
48,25/01/2015,Thrill App,,,,People Group (Shaadi.com),Private Equity,1000000,Strategic Funding
49,27/01/2015,CarDekho.com,,,,"Hillhouse Capital, Tybourne Capital",Private Equity,50000000,Series B
50,28/01/2015,Grabhouse.com,,,,"Kalaari Capital, Sequoia Capital",Private Equity,2500000,Series A
51,29/01/2015,Printvenue,,,,Asia Pacific Internet Group,Private Equity,4500000,
52,29/01/2015,Graphene,,,,KARSEMVEN Fund,Private Equity,825000,Govt backed VC Fund
53,30/01/2015,Mad Street Den,,,,"Exfinity Fund, GrowX Ventures.",Private Equity,1500000,
54,30/01/2015,Simplotel,,,,MakeMyTrip,Private Equity,,"Strategic Funding, Minority stake"
55,31/01/2015,couponmachine.in,,,,UK based Group of Angel Investors,Seed Funding,140000,
