startup_name,date,sector,sub_sector,city,investors,round_type,amount_usd,year,month
Murgency,2016-04-27,Consumer Internet,Medical Emergency Response App,Mumbai,Axilor Ventures,Private Equity,0.0,2016.0,4.0
The Wedding Brigade,2016-04-28,Consumer Internet,Online Wedding Information Portal,Mumbai,Blume Ventures & Other unnamed Investors,Seed,600000.0,2016.0,4.0
Docsapp,2016-04-28,Consumer Internet,Online Doctor Discovery & Chat platform,Bengaluru,"Rebright Partners, Anand Rajaraman, Venky Harinarayan",Private Equity,1200000.0,2016.0,4.0
Impact Guru,2016-04-29,Consumer Internet,Online Crowdfunding platform for NGOs & Social Projects,Mumbai,"RB Investments, Fundnel",Seed,500000.0,2016.0,4.0
Letreach,2016-04-29,eCommerce,ECommerce SAAS Solutions,Delhi,vCommission,Private Equity,100000.0,2016.0,4.0
Driveu,2016-03-01,Consumer Internet,Chauffeurs Discovery for private car owners,Bengaluru,Unitus Seed Fund,Seed,0.0,2016.0,3.0
Gympik,2016-03-01,Consumer Internet,"Fitness Centres, Gym Discovery online marketplace",Bengaluru,RoundGlass Partners,Private Equity,0.0,2016.0,3.0
Testbook,2016-03-01,Consumer Internet,Online Test Preparation Platform,Mumbai,S Chand & Co,Private Equity,0.0,2016.0,3.0
Iqlect,2016-03-01,Technology,Big Data Analytics Platform,Bengaluru,"Lip-Bu Tan, Michael Marks, Nicolas Braithwaite",Private Equity,0.0,2016.0,3.0
Momark,2016-03-02,Consumer Internet,Mobile Wallet Aggregation platform,Noida,YourNest Angel Fund,Private Equity,600000.0,2016.0,3.0
Skedool,2016-03-02,Consumer Internet,AI based Office Assistant Mobile App,Seattle / Bangalore,"Kludein LLC\\nPhanindra Sama, Narayan Ramachandran, Pranav Pai",Seed,0.0,2016.0,3.0
Systemantics,2016-03-02,Technology,Industrial robots maker,Bengaluru,"Nandan Nilekani, Accel Partners",Private Equity,1400000.0,2016.0,3.0
Vertuals,2016-03-03,Technology,Audio Visual Digital Content creators for Brands,Mumbai,Dino Morea,Seed,0.0,2016.0,3.0
Imarticus Learning,2016-03-03,Education,Financial Services & Analytics Education Institute,Mumbai,"Blinc Advisors, Amit Nanavati, Tashwinder Singh, Taranjit Jaswal, Amit Khanna",Private Equity,1000000.0,2016.0,3.0
Shouut,2016-03-03,Consumer Internet,Social Discovery Mobile app,Delhi,Undisclosed investor,Seed,500000.0,2016.0,3.0
Tinystep,2016-03-04,Consumer Internet,Parenting Social Network Platform,Bengaluru,Matt Glickman,Private Equity,0.0,2016.0,3.0
Aahaa,2016-03-04,ECommerce,Office Products Super Store,Chennai,"YourNest Angel Fund,",Private Equity,1000000.0,2016.0,3.0
Arcatron Mobility,2016-03-04,Technology,Smart wheelchair Design and Development,Pune,"Sudhir Mehta, Anoop Hingorani",Seed,0.0,2016.0,3.0
Ftcash,2016-03-04,Consumer Internet,Mobile Payments Platform,Kolkata,IvyCap Ventures,Seed,150000.0,2016.0,3.0
Civilsdaily,2016-03-04,Consumer Internet,Civil Services News Aggregator,Delhi,Manoj Kumar & Other undisclosed investors,Seed,0.0,2016.0,3.0
Zappka,2016-03-04,Consumer Internet,Mobile App discovery and review platform,Gurgaon,"Daman Soni, Rajat Gupta & Others",Seed,100000.0,2016.0,3.0
Tarusa World,2016-03-04,ECommerce,Handicraft products eTailer,Mumbai,Mohit Gulati,Seed,0.0,2016.0,3.0
Medecube,2016-03-04,Healthcare,Healthcare related Services provider,Gurgaon,Artiman Ventures,Private Equity,4000000.0,2016.0,3.0
N.O.W,2016-03-07,Consumer Internet,Bike Taxi Service & Hyperlocal Delivery App,Noida,"Ruchirans Jaipuria, Anuj Sanghi",Seed,500000.0,2016.0,3.0
Ninjacart,2016-03-07,ECommerce,B2B marketplace for Farmers & Retailers,Bengaluru,"Accel Partners, Qualcomm Ventures, M&S Partners, Zop Smart",Private Equity,3000000.0,2016.0,3.0
Reach,2016-03-07,Consumer Internet,Cross Platform P2P file sharing mobile app,Bengaluru,"Rebright Partners, Sol Primero, Sudhir Anandarao, Ankur Warikoo, Ankur Singla",Seed,500000.0,2016.0,3.0
Vanity Cube,2016-03-07,Consumer Internet,Hyperlocal Beauty Services platform,Delhi,Unicorn Ventures,Seed,250000.0,2016.0,3.0
Wooplr,2016-03-07,ECommerce,Curated Fashion ECommerce portal,Bengaluru,"Naveen Tewari, Abhay Singhal, Amit Gupta, Piyush Shah, Raghunandan G, Rajiv Mehta",Seed,0.0,2016.0,3.0
Medidaili,2016-03-07,Consumer Internet,Medical Support service platform,Bengaluru,Undisclosed private investors,Seed,100000.0,2016.0,3.0
Finomena,2016-03-08,Technology,Credit Worthiness Big Data Analytics,Delhi,Matrix Partners India,Private Equity,0.0,2016.0,3.0
Cookaroo,2016-03-08,Consumer Internet,Food Delivery Platform,Bengaluru,Vijay Krishna Yadav,Seed,0.0,2016.0,3.0
Vphrase Analytics,2016-03-08,Technology,AI based data analytics platform,Mumbai,"Apoorv Ranjan Sharma, Daud Ali and others",Seed,0.0,2016.0,3.0
Lovecycles,2016-03-08,Consumer Internet,Women\\xe2\\x80\\x99s health Tracker,Bengaluru,Prime Venture Partners,Seed,750000.0,2016.0,3.0
Kartrocket,2016-03-08,ECommerce,ECommerce SAAS platform,Delhi,"Undisclosed Japanese investor, Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding Co Ltd, 500 Start-Ups",Private Equity,8000000.0,2016.0,3.0
Dunzo,2016-03-08,Consumer Internet,Daily Task Management App,Bengaluru,"Aspada Investment Advisors, Blume Ventures.",Seed,650000.0,2016.0,3.0
Indiamart,2016-03-09,ECommerce,B2B Marketplace for SMBs,Noida,Amadeus Capital,Private Equity,0.0,2016.0,3.0
Smartvizx,2016-03-09,Technology,Virtual Reality Solutions,Noida,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed,500000.0,2016.0,3.0
Mygubbi,2016-03-09,Real Estate,Interior Design & Home D\\xc3\\xa9cor Solutions,Bengaluru,"Vipul Parekh, ajesh K Murthy,",Seed,2500000.0,2016.0,3.0
Nukkad Shops,2016-03-09,Consumer Internet,Hyperlocal Grocery Delivery Service,Hyderabad,PurpleTalk Inc,Seed,1000000.0,2016.0,3.0
Cloudacar,2016-03-09,Consumer Internet,Carpooling Mobile App,Pune,"Amit Choudhary, Anuj Puri",Seed,0.0,2016.0,3.0
Justride,2016-03-09,Consumer Internet,Self Drive Car Rental,Mumbai,Dheeraj Jain & Other angel investors,Seed,400000.0,2016.0,3.0
Yana,2016-03-09,Consumer Internet,Personal AI Transaction Engine App,Gurgaon,"Puneet Gupta,",Seed,0.0,2016.0,3.0
Big Fish Ventures,2016-03-10,Food & Beverage,premium dining lounges Chain,Delhi,Undisclosed investors,Private Equity,11100000.0,2016.0,3.0
Stylflip,2016-03-10,ECommerce,Pre-Owned Fashion marketplace mobile app,Mumbai,"Raj Gala Shah, Zaheer Memon",Seed,0.0,2016.0,3.0
Icertis,2016-03-10,Technology,Contract Management Software Solutions platform,Pune/Seattle,"Ignition Partners, Greycroft Partners, Fidelity Growth Partners India",Private Equity,15000000.0,2016.0,3.0
Supplified,2016-03-10,ECommerce,Construction material eTailer,Delhi,Mohit Goel,Seed,1000000.0,2016.0,3.0
Jollyfoodfellow,2016-03-11,Technology,Food Related Marketing & Branding platform,Ahmedabad,Janak Parikh,Seed,0.0,2016.0,3.0
Pinkblue,2016-03-14,ECommerce,Medical Supplies eTailer,Bengaluru,"Hari Krishna, Ajay Modani, Dr V Ravinder, Anirudh Rastogi, Abhishek Jain, Rakesh Gakhar, Rajeev Mudumba, Nagendra Prasad Bhanuprakash",Seed,223608.0,2016.0,3.0
Truckingcube,2016-03-14,Logistics,"Domestic, Commercial, and Industrial Goods Movers",Delhi,Agarwal Movers Group,Private Equity,14900000.0,2016.0,3.0
Eswasthya,2016-03-14,Consumer Internet,Online Medicine Delivery Aggregator,Ahmedabad,Hemang Sahani,Seed,0.0,2016.0,3.0
Flipclass,2016-03-15,Consumer Internet,Tutor Search Platform,Bengaluru,"S Chand and Co Pvt Ltd, Blume Ventures",Private Equity,1000000.0,2016.0,3.0
Proximit,2016-03-15,Technology,Advertising Technology,Pune,Funding through 1Crowd platform,Seed,150000.0,2016.0,3.0
Withme,2016-03-15,Consumer Internet,Personalized Fashion App,Gurgaon,"Alex Kuruvilla, Pradeep Guha, Saket Dhankar, Rajan Pandhare",Seed,250000.0,2016.0,3.0
Gapoon,2016-03-16,Consumer Internet,Hyperlocal Home Maintenance services,Bengaluru,"Chandrashekar Tallapragada, Pankaj Kapoor",Seed,180000.0,2016.0,3.0
Avagmah,2016-03-16,Consumer Internet,Online Education Portal,Bengaluru,"Kris Gopalakrishnan, Atul Nishar",Seed,0.0,2016.0,3.0
Workindia,2016-03-16,Consumer Internet,Online Job Board,Mumbai,Beenext,Seed,0.0,2016.0,3.0
Wealthy,2016-03-16,Consumer Internet,Online Investment management portal,Bengaluru,"Zishaan Hayath, Abhishek Goyal, Arjun and Rohan Malhotra, Harpreet Singh Grover, Gagan Dugal",Seed,250000.0,2016.0,3.0
Pramati,2016-03-17,Healthcare,Specialized Patient Care platform,Noida,Undisclosed investors,Seed,200000.0,2016.0,3.0
Qlivery,2016-03-17,Consumer Internet,Ondemand Concierge Service,Gurgaon,Swastika Company Ltd,Seed,230000.0,2016.0,3.0
Healthenablr,2016-03-17,Consumer Internet,Doctor Discovery and booking platform,Mumbai,Undisclosed investors,Seed,800000.0,2016.0,3.0
Liftiee,2016-03-17,Consumer Internet,Car/ bike Pooling App,Mumbai,"Rannvijay Singh, Anita Hassanandani",Seed,108000.0,2016.0,3.0
Hello Curry,2016-03-18,Food & Beverage,Quick Service Restaurant Chain,Hyderabad,Sashi Reddi & Other unnamed investors,Private Equity,1500000.0,2016.0,3.0
Gosporto,2016-03-19,Consumer Internet,Online Sports discovery and booking platform,Delhi,Naveen Gupta,Seed,30000.0,2016.0,3.0
Oneclickwash,2016-03-21,Consumer Internet,Online Laundry & Washing service Booking & Delivery,Gurgaon,Unitus Seed Fund,Seed,0.0,2016.0,3.0
Girnar Software,2016-03-21,Consumer Internet,Online News Media Network,Jaipur,Google Capital,Private Equity,0.0,2016.0,3.0
Room On Call,2016-03-21,Consumer Internet,Budget hotel aggregator,Gurgaon,CASHurDRIVE Marketing Pvt Ltd,Private Equity,2000000.0,2016.0,3.0
Byju\\Xe2\\X80\\X99S,2016-03-22,Consumer Internet,Educational Video Content Creator,Bengaluru,"Sequoia India, Sofina",Private Equity,75000000.0,2016.0,3.0
Bigbasket,2016-03-22,eCommerce,Online Grocery Shop,Bengaluru,Abraaj Group,Private Equity,150000000.0,2016.0,3.0
Drivojoy,2016-03-22,Consumer Internet,On-demand 2-wheeler Servicing platform,Bengaluru,"Indian Angel Network, Tracxn Labs & Others",Seed,600000.0,2016.0,3.0
Smartron,2016-03-22,Technology,Internet of Things Device manufacturer,Bengaluru,Sachin Tendulkar,Private Equity,0.0,2016.0,3.0
Lifcare,2016-03-22,Consumer Internet,Online Pharmacy portal,Jaipur,"Rajul Garg, Alok Mittal, Kunal Shah, Rishi Mandawat, Dheeraj Jain, Sandeep Tandon, Dexter Angel Circle",Seed,0.0,2016.0,3.0
