startup_name,sector,city,total_raised,total_rounds,latest_round,last_raise,months_since_raise,recency_score,momentum_score,scale_score,stage_score_norm,health_score,risk_flag
Mad Street Den,Technology,Chennai,1500000.0,3,Private Equity,2018-09-05,16.5,73.0392156862745,37.5,0.03487197799438701,83.33333333333334,51.6,STABLE
Urban Ladder,E-Commerce,Bengaluru,77200000.0,4,Private Equity,2018-03-01,22.8,62.745098039215684,50.0,1.7947444674444515,83.33333333333334,51.5,MEDIUM RISK - No raise in 18+ months
Icertis,Consumer Internet,Pune,96000000.0,4,Private Equity,2018-02-08,23.5,61.60130718954249,50.0,2.2318065916407686,83.33333333333334,51.2,MEDIUM RISK - No raise in 18+ months
Clumio,SaaS,"San Jose,",135000000.0,1,Series C,2019-11-20,1.8,97.05882352941177,12.5,3.1384780194948307,66.66666666666666,51.1,STABLE
Byju\\Xe2\\X80\\X99S,Consumer Internet,Bengaluru,175000000.0,5,Private Equity,2017-07-25,30.1,50.81699346405229,62.5,4.068397432678484,83.33333333333334,50.9,HIGH RISK - No raise in 24+ months
Rivigo,Technology,Gurgaon,140000000.0,4,Other,2019-12-13,1.0,98.36601307189542,50.0,3.254717946142787,16.666666666666664,50.9,STABLE
Renewbuy,Finance,Gurgaon,20500000.0,3,Series B,2019-07-02,6.5,89.37908496732027,37.5,0.4765836992566224,50.0,50.8,STABLE
Licious,E-Commerce,Bengaluru,48231000.0,4,Seed,2019-12-16,0.9,98.52941176470588,50.0,1.1212735804315197,16.666666666666664,50.5,STABLE
Sigtuple,Healthcare,Bengaluru,24800000.0,3,Private Equity,2018-06-26,18.9,69.11764705882354,37.5,0.5765500361738651,83.33333333333334,50.3,MEDIUM RISK - No raise in 18+ months
Pratilipi,Digital Media,Bengaluru,19409500.0,3,Series B,2019-06-06,7.4,87.90849673202615,37.5,0.4512317712547031,50.0,50.2,STABLE
Ayefinance,Finance,Gurgaon,29900000.0,3,Private Equity,2018-06-10,19.4,68.30065359477125,37.5,0.695114761354781,83.33333333333334,50.1,MEDIUM RISK - No raise in 18+ months
Eshakti,E-Commerce,Chennai,13750000.0,3,Private Equity,2018-06-12,19.3,68.4640522875817,37.5,0.3196597982818809,83.33333333333334,50.1,MEDIUM RISK - No raise in 18+ months
Zenoti,Saas,Hyderabad,65000000.0,2,Series C,2019-05-02,8.5,86.11111111111111,25.0,1.511119046423437,66.66666666666666,50.0,STABLE
Medlife,E-commerce,Bengaluru,17000000.0,1,Private Equity,2019-04-12,9.2,84.9673202614379,12.5,0.3952157506030528,83.33333333333334,49.6,STABLE
Kabadiwala,E-commerce,Bhopal,430665.0,1,Private Equity,2019-04-10,9.3,84.80392156862744,12.5,0.010012093601968452,83.33333333333334,49.5,STABLE
Milkbasket,Food,Delhi,11800000.0,4,Series B,2018-11-12,14.2,76.79738562091504,50.0,0.2743262268891778,50.0,49.4,STABLE
Krazybee,E-commerce,Bengaluru,10000000.0,3,Debt,2019-04-19,9.0,85.29411764705883,37.5,0.23247985329591336,50.0,49.3,STABLE
Bizongo,Consumer Internet,Mumbai,25000000.0,3,Private Equity,2018-05-02,20.7,66.1764705882353,37.5,0.5811996332397835,83.33333333333334,49.3,MEDIUM RISK - No raise in 18+ months
Healthifyme,Health and Wellness,Bengaluru,25000000.0,6,Other,2018-11-20,14.0,77.12418300653594,75.0,0.5811996332397835,16.666666666666664,49.2,STABLE
Nykaa,Consumer Internet,Mumbai,340893000.0,6,Pre-Series A,2018-09-05,16.5,73.0392156862745,75.0,7.925075462960379,16.666666666666664,49.2,STABLE
True Balance,Technology,Gurgaon,38000000.0,3,Private Equity,2018-04-19,21.1,65.52287581699346,37.5,0.8834234425244709,83.33333333333334,49.2,MEDIUM RISK - No raise in 18+ months
Tripoto,Social Media,Delhi,5591375.0,3,Series B,2019-04-13,9.2,84.9673202614379,37.5,0.12998820397224375,50.0,49.1,STABLE
Pepperfry,Consumer Internet,Mumbai,169700000.0,3,Private Equity,2018-03-08,22.5,63.235294117647065,37.5,3.94518311043165,83.33333333333334,49.0,MEDIUM RISK - No raise in 18+ months
Toppr,Edtech,Mumbai,26620820.0,5,Other,2019-04-10,9.3,84.80392156862744,62.5,0.6188804328216916,16.666666666666664,48.8,STABLE
Makemytrip,Consumer Internet,Gurgaon,190000000.0,2,Private Equity,2018-08-07,17.5,71.40522875816994,25.0,4.417117212622354,83.33333333333334,48.8,STABLE
Netmeds,Consumer Internet,Chennai,49000000.0,2,Private Equity,2018-09-01,16.6,72.87581699346404,25.0,1.1391512811499755,83.33333333333334,48.7,STABLE
Kissht,Fin-Tech,Mumbai,32000000.0,2,Private Equity,2018-09-12,16.3,73.36601307189542,25.0,0.7439355305469229,83.33333333333334,48.7,STABLE
Zendrive,Automotive,San Francisco,50500000.0,2,Series B,2019-08-23,4.8,92.15686274509804,25.0,1.1740232591443625,50.0,48.7,STABLE
Fitternity,Consumer Internet,Mumbai,3000000.0,3,Private Equity,2018-04-02,21.7,64.54248366013073,37.5,0.06974395598877402,83.33333333333334,48.6,MEDIUM RISK - No raise in 18+ months
Zestmoney,Consumer Internet,Bengaluru,19900000.0,2,Private Equity,2018-08-26,16.8,72.54901960784314,25.0,0.46263490805886764,83.33333333333334,48.4,STABLE
Medgenome,Healthcare,Bengaluru,60000000.0,3,Private Equity,2018-03-05,22.6,63.0718954248366,37.5,1.3948791197754802,83.33333333333334,48.4,MEDIUM RISK - No raise in 18+ months
Vogo Automotive,Last Mile Transportation,Kormangala,283000000.0,1,Series B,2019-11-15,2.0,96.73202614379085,12.5,6.579179848274348,50.0,48.3,STABLE
Shubh Loans,Fin-Tech,Bengaluru,5700000.0,2,Private Equity,2018-08-26,16.8,72.54901960784314,25.0,0.13251351637867062,83.33333333333334,48.3,STABLE
Revv,Consumer Internet,Gurgaon,23270000.0,2,Private Equity,2018-08-22,17.0,72.22222222222223,25.0,0.5409806186195905,83.33333333333334,48.3,STABLE
Myupchar,Healthcare,Delhi,5300000.0,2,Private Equity,2018-08-27,16.8,72.54901960784314,25.0,0.12321432224683408,83.33333333333334,48.3,STABLE
Pi Ventures,Technology,Bengaluru,31000000.0,2,Private Equity,2018-08-22,17.0,72.22222222222223,25.0,0.7206875452173315,83.33333333333334,48.3,STABLE
