startup_name,total_rounds,first_round,last_round,total_raised
Mswipe,3,2015-07-23,2017-12-07,66000000.0
Ekincare,3,2015-01-16,2018-01-29,1991000.0
Gingercrush,3,2015-07-03,2016-02-05,2000000.0
Tripoto,3,2015-03-19,2019-04-13,5591375.0
Sharechat,3,2016-07-13,2018-01-18,330129000.0
Mytaxiindia,3,2015-06-03,2016-07-21,1600000.0
Oyorooms,3,2015-08-03,2018-02-14,262000000.0
Dunzo,3,2016-03-08,2019-10-04,90835000.0
Eshakti,3,2016-09-06,2018-06-12,13750000.0
Lookup,3,2015-01-05,2015-10-13,5880000.0
Pepperfry,3,2015-07-28,2018-03-08,169700000.0
Voxweb,3,2015-08-14,2017-06-23,1450000.0
Mobikon,3,2015-07-15,2017-08-28,9300000.0
Wassup,3,2015-05-12,2017-02-13,5200000.0
Zenatix,3,2015-07-02,2017-02-08,1361000.0
Zilingo,3,2015-11-09,2019-02-08,235900000.0
Ziploan,3,2016-10-12,2017-10-24,3650000.0
Pharmeasy,3,2017-04-07,2018-09-11,61957000.0
Pitstop,3,2016-01-07,2017-09-27,1000000.0
Policybazaar,3,2015-04-15,2018-07-06,267700000.0
True Balance,3,2016-03-30,2018-04-19,38000000.0
Envoged,2,2015-08-19,2015-09-11,0.0
Epoise,2,2015-03-26,2015-08-21,500000.0
Events High,2,2016-12-19,2018-05-30,0.0
Ezetap,2,2015-08-06,2017-08-24,41000000.0
Faasos,2,2015-12-07,2017-04-24,36300000.0
Fabhotels,2,2016-06-28,2019-06-03,12889975.54
Faircent.Com,2,2015-06-11,2016-08-12,1750000.0
Fashalot,2,2016-04-20,2017-09-27,0.0
Fastudent,2,2015-11-27,2016-09-29,0.0
Fincash,2,2017-06-16,2018-02-16,250000.0
Cityfurnish,2,2015-12-23,2016-07-13,0.0
Finzy,2,2018-04-02,2018-08-20,2300000.0
Firstcry,2,2015-02-02,2016-01-21,26000000.0
Fitmein,2,2015-09-11,2016-12-14,100000.0
Fitpass,2,2016-12-14,2017-06-29,2000000.0
Fitso,2,2016-01-15,2017-03-16,400000.0
Flyrobe,2,2016-07-05,2016-08-31,7000000.0
Flytxt,2,2015-07-08,2017-04-26,22000000.0
Foodpanda,2,2015-03-13,2015-05-01,210000000.0
Fr8,2,2016-10-27,2017-11-28,2471000.0
Fracktal Works,2,2015-06-18,2017-12-12,3000000.0
Freecharge,2,2015-02-06,2017-01-07,137000000.0
Freshboxx,2,2016-09-10,2017-11-02,0.0
Freshdesk,2,2015-04-20,2016-11-02,105000000.0
Freshmenu,2,2016-01-11,2016-01-29,33500000.0
Ftcash,2,2016-03-04,2017-06-06,150000.0
Gadgetwood,2,2015-04-09,2016-09-22,6200000.0
Gapoon,2,2016-03-16,2017-10-13,430000.0
Glowroad,2,2017-09-13,2019-05-30,13500000.0
Gojavas,2,2015-03-18,2015-10-07,20000000.0
Golflan,2,2015-03-17,2016-11-10,1000000.0
Grab,2,2015-04-27,2015-11-11,1000000.0
Guiddoo,2,2015-06-10,2018-12-02,800000.0
Gyandhan,2,2016-07-12,2017-06-06,0.0
Gympik,2,2015-01-05,2016-03-01,135000.0
Handytrain,2,2016-11-30,2017-12-05,2000000.0
Hansel.Io,2,2016-02-08,2017-01-12,1350000.0
Happay,2,2015-04-23,2018-02-16,750000.0
Heads Up For Tails,2,2016-02-06,2017-01-31,3000000.0
Healthyworld.In,2,2015-01-19,2015-01-20,400000.0
Hopscotch,2,2015-01-20,2016-02-29,24000000.0
Housejoy,2,2015-06-19,2015-12-16,605767000.0
Housing.Com,2,2016-01-21,2016-11-22,20000000.0
