startup_name,last_raise,sector,city,total_raised
Logicroots,2015-04-27,Interactive Educational Games,Jaipur,400000.0
Torqus,2015-04-27,Restaurant Management Platform,Pune,350000.0
Naaptol.Com,2015-04-28,Tele-Shopping / eCommerce,Mumbai,21500000.0
Babajobs,2015-04-28,Grey collar Job Board,Bengaluru,10000000.0
Jay Robotix,2015-04-28,Robotic Program learning,Hyderabad,250000.0
Tradelab,2015-04-29,Financial Markets Software,Bengaluru,400000.0
Dazo,2015-04-29,Mobile Food Ordering app,Bengaluru,0.0
Piqube,2015-04-29,Hiring Analytics platform,Chennai,500000.0
Reglobe,2015-04-29,Used Gadgets Buy / Refurbishing,Gurgaon,1000000.0
Foodpanda,2015-05-01,Online Food Delivery,Gurgaon,210000000.0
Termsheet,2015-05-01,Fund Raising Platform,Chennai,100000.0
Spoonjoy,2015-05-04,Online Food Delivery,Bengaluru,1000000.0
Fintellix,2015-05-05,Banking Analytics Platform,Bengaluru,15000000.0
Seed Schools,2015-05-05,Affordable Education,Hyderabad,650000.0
Customer360,2015-05-05,Customer Engagement Platform,Mumbai,0.0
Ignis Careers,2015-05-05,Career Development,Hyderabad,250000.0
Uniken,2015-05-08,Online Security Platform,Pune,2000000.0
Grandopinion,2015-05-08,Online Medical Diagnostic,Delhi,150000.0
Buyhatke,2015-05-08,Online Product Comparison,Bengaluru,1000000.0
Kleverkid,2015-05-08,Online Education Platform,Delhi,0.0
Workhorse,2015-05-12,Service-On-Demand Mobile App,Mumbai,0.0
Zapstitch,2015-05-12,Cloud Data Integration Platform,Bengaluru,2000000.0
Mycuteoffice,2015-05-13,Online Office Rental,Mumbai,0.0
Redpolka,2015-05-14,Online Fashion Aggregator,Mumbai,250000.0
Indianroots.Com,2015-05-14,Lifestyle Ecommerce Portal,Gurgaon,5000000.0
Venturesity,2015-05-15,Online Job skills Showcase,Bengaluru,270000.0
Thebetterindia.Com,2015-05-18,Online News Media,Bengaluru,0.0
Akosha,2015-05-19,Business Messaging App,Delhi,16000000.0
Meetuniv,2015-05-19,Online Ed-Tech Platform,Noida,1000000.0
Springleap,2015-05-19,,,800000.0
Inspirock,2015-05-19,Online Travel Planning,,0.0
Cooey,2015-05-19,Health Mobile App,Bengaluru,470000.0
Trucksfirst,2015-05-19,Trucking Logistic Operations,Gurgaon,10000000.0
Crown-It,2015-05-19,Hyperlocal Mobile Marketplace,Gurgaon,5500000.0
Sunterrace,2015-05-21,Rooftop Solar Plants,Delhi,0.0
Knit,2015-05-21,,,0.0
\\Xc2\\Xa0Nudgespot,2015-05-22,Customer Engagement Platform,Bengaluru,625000.0
Eveningflavors,2015-05-22,Online Table Reservation,Bengaluru,500000.0
Zenparent,2015-05-25,Parents focused Web Content,Bengaluru,500000.0
Newgen Payments,2015-05-25,Payments Solution Provider,Delhi,0.0
Renderlogy,2015-05-26,Online Home D\\xc3\\xa9cor,Hyderabad,2600000.0
Urbanpro,2015-05-26,On-demand Service marketplace,Bengaluru,2000000.0
Fleetrover,2015-05-27,Logistics Intelligence,Goa,180000.0
Casa2Inns,2015-05-27,Affordable Hotel Booking Online,Delhi,5000000.0
Truweight,2015-05-28,Weight Management Service,Hyderabad,0.0
Thekarrier,2015-05-28,Last Mile Logistics,Bengaluru,240000.0
Glamrs,2015-06-01,Online Fashion Video Portal,Mumbai,1000000.0
Eattreatonline,2015-06-01,Healthy Food Online Community,Delhi,350000.0
Meritnation,2015-06-01,Online Learning Platform,Delhi,4000000.0
Veeba Foods,2015-06-01,Healthy Food Manufacturer,Delhi,6000000.0
Proviera,2015-06-01,Probiotic Technology Products Manufacturer,Chennai,550000.0
Arth Designbuild,2015-06-01,Architectural Design & Consulting,Hyderabad,500000.0
Allizhealth,2015-06-02,Preventive Healthcare Services,Pune,350000.0
Saama,2015-06-02,Big Data & Analytics Services,Pune / US,35000000.0
Little Black Book Delhi,2015-06-03,Online City & Lifestyle Guide,Delhi,150000.0
Entropy Innovations,2015-06-03,Engineering Innovations,Mumbai,0.0
Arkin Net,2015-06-03,Data Center Software platform,Pune / US,15000000.0
Icustomadeit,2015-06-03,Bespoke Merchandize Marketplace,Pune,250000.0
Propstack,2015-06-03,Real Estate Intelligence Platform,Mumbai,3000000.0
Zopper,2015-06-04,Hyperlocal Shopping App,Mumbai,20000000.0
Kwatt Solutions,2015-06-05,Renewable energy solutions,Mumbai,500000.0
Postergully,2015-06-08,Artist / Designer Marketplace,Delhi,0.0
Applied Solar Technologies,2015-06-08,Off-grid Solar Power,Mumbai,40000000.0
Printland,2015-06-09,Online Printing Services,Delhi,0.0
Teritree,2015-06-09,Digital Marketing Services,Bengaluru,140000.0
Paymango,2015-06-09,Mobile Commerce Platform,Gurgaon,234000.0
Adstringo,2015-06-11,Mobile Compression Software,Mumbai,350000.0
La Renon,2015-06-12,Global Healthcare products,Ahmedabad,16000000.0
Shippr,2015-06-15,Intra-City Logistics service,Bengaluru,500000.0
Istar,2015-06-15,Skill Training & Placement Platform,Bengaluru,0.0
Karma Recycling,2015-06-16,Electronic Goods recycling service,Delhi,0.0
Foodabhi,2015-06-16,online tiffin service aggregator,Mumbai,0.0
Couponraja,2015-06-16,Online Coupon & comparison platform,Mumbai,500000.0
Jiffstore,2015-06-17,Online Grocery platform,Bengaluru,0.0
Mydentist,2015-06-17,Dental Clinic chain,Mumbai,8200000.0
Moovo,2015-06-18,On-Demand Logistics Service,Delhi,0.0
Hansa Customer Equity,2015-06-18,IT / Customer Engagement Consulting,Mumbai,5000000.0
Cakart.In,2015-06-18,Online Education Marketplace,Bengaluru,0.0
Fundsindia.Com,2015-06-19,Financial Services Platform,Chennai,11000000.0
Cupick,2015-06-20,Social Network for Artists,Bengaluru,120000.0
Banihal,2015-06-22,Algorithmic Match Making Platform,New Delhi / California,0.0
Elong,2015-06-22,Data Driven recruitment recommendation,Bengaluru,5000000.0
Skillangels,2015-06-22,Brain Games Platform,Chennai,0.0
Vidgyor,2015-06-22,Video Advertisement Platform,Bengaluru,500000.0
Goodservice,2015-06-23,Mobile Chat based concierge service,Delhi,1600000.0
Edukart,2015-06-23,Online education marketplace,Delhi,1000000.0
Healthians.Com,2015-06-23,Preventive healthcare services,Hyderabad,0.0
Retention.Ai,2015-06-24,App Analytics platform,Bengaluru,500000.0
Labinapp,2015-06-24,Science Learning App,Bengaluru,0.0
Indix,2015-06-24,SaaS product intelligence platform,,15000000.0
Sigrid Education,2015-06-24,Online Education Platform,Noida,0.0
The Porter,2015-06-24,Logistics Tech,Mumbai,6000000.0
Zinka,2015-06-25,Freight logistics platform,Bengaluru,6000000.0
Fusion Microfinance,2015-06-25,Micro Finance Platform,Delhi,8600000.0
Getmypeon,2015-06-26,Hyperlocal Handyman Services,Mumbai,250000.0
Adwyze,2015-06-29,Marketing / Advertising Automation platform,Bengaluru,1000000.0
Mycfo,2015-06-30,Wealth Management Platform,Mumbai,1500000.0
Aagaar.Com,2015-06-30,Hyperlocal grocery delivery,Gurgaon,0.0
Flatchat,2015-06-30,Flat rental Mobile App,Bengaluru,2500000.0
Nxtgen,2015-07-01,IT infrastructure & Data Center services,Bengaluru,13500000.0
Retigence Technologies,2015-07-01,Business IT Intelligence Services,Mumbai,0.0
Cloudcherry Analytics,2015-07-01,CRM / Analytics platform,Chennai,1000000.0
Gozoomo,2015-07-02,Used Car Marketplace,Bengaluru,5000000.0
Bankbazaar,2015-07-02,Online Financial Services,Chennai,60000000.0
Culturealley,2015-07-03,Language Learning App,Jaipur,6500000.0
Paper Boat,2015-07-06,Ethnic Beverages manufacturer,Gurgaon,30000000.0
Getnow,2015-07-06,Hyperlocal Goods marketplace,Nagpur,0.0
Confirmttkt,2015-07-06,Rail Ticket Confirmation predictor,Bengaluru,0.0
Liases Foras,2015-07-07,Real Estate Rating & Analysis,Delhi,5000000.0
Wudstay,2015-07-07,Budget Accommodation aggregator,Gurgaon,3000000.0
Eatlo,2015-07-07,Food Delivery platform,Bengaluru,0.0
Collectabillia,2015-07-08,Celebrity Fashion Brand,Bengaluru,7500000.0
Ampere,2015-07-08,Electric Scooter manufacturer,Coimbatore,0.0
Quinto,2015-07-08,Food Discovery App,Pune,0.0
Hopping Chef,2015-07-08,Online Food-Tech Platform,Mumbai,470000.0
33Coupons,2015-07-08,Coupon Aggregator Platform,Kanpur,20000.0
Lybrate,2015-07-08,Healthcare Mobile App,Delhi,10200000.0
Axtria,2015-07-08,Big Data & Analytics platform,India / US,30000000.0
\\Xc2\\Xa0Bluestone,2015-07-09,\\xc2\\xa0Online Jewellery Store,\\xc2\\xa0Bangalore,0.0
\\Xc2\\Xa0Notesgen,2015-07-09,\\xc2\\xa0Online Study Notes Marketplace,\\xc2\\xa0New Delhi,0.0
\\Xc2\\Xa0News In Shorts,2015-07-09,\\xc2\\xa0News Aggregator mobile app,\\xc2\\xa0Noida,0.0
\\Xc2\\Xa0Shopsity,2015-07-09,\\xc2\\xa0Fashion Info Aggregator App,\\xc2\\xa0Gurgaon,0.0
\\Xc2\\Xa0Loylty Rewards,2015-07-10,\\xc2\\xa0Premium Loyalty Rewards Point Management,\\xc2\\xa0Mumbai,0.0
\\Xc2\\Xa0Footprints Education,2015-07-10,\\xc2\\xa0Pre-School Chain,\\xc2\\xa0Gurgaon,0.0
\\Xc2\\Xa0Satvacart,2015-07-13,\\xc2\\xa0Online Grocery Delivery,\\xc2\\xa0Gurgaon,0.0
\\Xc2\\Xa0Mamagoto,2015-07-13,\\xc2\\xa0Casual Dining restaurant Chain,\\xc2\\xa0New Delhi,0.0
\\Xc2\\Xa0Ameyo,2015-07-13,\\xc2\\xa0Contact Center Software Platform,\\xc2\\xa0Gurgaon,0.0
Boxmyspace,2015-07-14,Physical Storage warehouses,Mumbai,300000.0
Hackerrank,2015-07-14,Tech Recruitment platform,Bengaluru,7500000.0
Wowexpress,2015-07-14,Tech enabled logistics platform,Mumbai,500000.0
Mysmartprice,2015-07-14,Online comparison engine,Hyderabad,10000000.0
Instalively.Com,2015-07-15,Live video streaming app,Delhi,0.0
Quikwallet,2015-07-17,F&B sector Mobile Payment platform,Mumbai,1600000.0
Omnikart,2015-07-17,Industrial Supplies B2B ecommerce,Mumbai,100000.0
Zenradius,2015-07-21,Online Hiring Platform,Bengaluru,0.0
Joy By Nature,2015-07-21,Organic Food ecommerce,Delhi,1000000.0
Degustibus,2015-07-22,Fine Dining Restaurant Chain,Mumbai,30000000.0
Holidayiq,2015-07-23,Travel information portal,Bengaluru,15000000.0
Myonsto,2015-07-23,Online Grocers,Ahmedabad,320000.0
Icrushiflush,2015-07-23,Casual Dating App,Mumbai,0.0
Broex,2015-07-24,Real Estate Broker network App,Gurgaon,1000000.0
Shopatplaces,2015-07-25,Ethnic/ Traditional Fashion Store,Delhi,0.0
Townrush,2015-07-27,B2B logistics delivery platform,Bengaluru,0.0
Managemyspa,2015-07-27,Spa & Salon Management Software,Hyderabad,6000000.0
Bevy,2015-07-27,Online Hiring Platform,Bengaluru,0.0
Flipkart.Com,2015-07-28,Online Marketplace,Bengaluru,700000000.0
